Mode,1990 (MtCO2e),1991 (MtCO2e),1992 (MtCO2e),1993 (MtCO2e),1994 (MtCO2e),1995 (MtCO2e),1996 (MtCO2e),1997 (MtCO2e),1998 (MtCO2e),1999 (MtCO2e),2000 (MtCO2e),2001 (MtCO2e),2002 (MtCO2e),2003 (MtCO2e),2004 (MtCO2e),2005 (MtCO2e),2006 (MtCO2e),2007 (MtCO2e),2008 (MtCO2e),2009 (MtCO2e),2010 (MtCO2e),2011 (MtCO2e),2012 (MtCO2e),2013 (MtCO2e),2014 (MtCO2e),2015 (MtCO2e),2016 (MtCO2e),2017 (MtCO2e),2018 (MtCO2e),2019 (MtCO2e),2020 (MtCO2e),2021 (MtCO2e),2022 (MtCO2e)
Rail transport,1.8,1.8,1.8,1.8,1.7,1.8,1.9,2.0,2.1,2.1,2.1,2.2,2.1,2.2,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.4,2.3,2.3,2.3,2.2,2.3,1.8,2.0,1.9
"Buses, coaches, trams and similar public urban transport",5.9,6.0,5.9,6.0,6.1,6.2,6.3,6.3,6.1,6.0,5.7,5.6,5.5,5.6,5.4,5.3,5.4,5.5,5.1,5.0,5.1,4.7,4.7,4.6,4.5,4.4,4.3,4.1,3.9,3.9,2.9,3.2,3.4
"Underground, metro other non interurban rail services",0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taxis and other renting of private cars with driver,1.7,1.9,2.0,2.0,2.1,2.1,2.2,2.3,2.3,2.4,2.5,2.5,2.6,2.6,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.2,3.2,3.2,3.3,3.4,3.7,3.9,4.0,4.1,3.2,3.5,3.7
Freight transport by road and removal services,13.7,13.2,13.1,13.6,14.1,14.0,14.5,15.0,14.7,14.7,14.4,14.2,14.4,14.4,14.5,14.3,14.3,14.5,13.4,11.5,11.7,11.5,11.2,11.2,11.5,11.9,12.2,12.3,12.5,12.4,12.1,12.7,12.3
Transport via pipeline,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Water transport services,19.5,21.2,20.5,19.5,19.8,20.6,23.6,30.5,32.6,28.5,28.1,32.9,30.2,29.0,28.8,27.3,17.4,20.5,18.2,15.6,16.4,18.8,16.8,14.0,18.5,19.6,22.0,12.9,15.4,17.3,22.0,14.7,23.0
Air transport services,20.4,19.3,21.1,22.9,22.9,24.8,26.6,28.2,31.5,34.0,37.5,36.9,36.0,37.3,39.5,42.9,43.6,44.1,43.7,41.5,40.4,42.4,40.9,40.6,40.6,41.1,40.8,43.4,45.6,42.5,17.1,17.8,32.3
Warehousing and support services for transportation,2.1,2.1,2.0,2.1,2.0,2.0,2.0,1.9,2.0,2.2,2.2,2.2,2.4,2.4,2.6,2.7,3.5,3.4,3.4,3.3,3.3,3.3,3.2,3.1,3.0,2.6,2.7,2.7,2.7,2.7,2.2,2.2,2.4
Postal and courier services,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.3,1.3,1.5,1.4,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.5,1.7,1.7
All transport and storage industries,67.0,67.4,68.4,69.7,70.7,73.5,79.1,88.2,93.5,91.9,94.6,98.4,95.1,95.1,97.3,99.1,90.9,94.9,90.8,84.0,84.4,87.9,84.1,80.9,85.7,87.2,89.9,83.5,88.3,87.0,63.0,58.0,80.9
Household private transport,60.6,60.2,61.2,61.7,60.9,60.0,63.6,64.1,64.2,65.2,64.8,66.2,68.8,68.2,69.3,69.6,69.7,69.8,69.1,68.3,66.7,65.9,66.0,66.8,67.3,68.1,69.1,69.7,69.6,69.2,53.7,58.4,61.2
"Total emissions, All sectors",842.3,851.9,832.7,815.1,804.1,800.1,826.3,810.4,815.0,784.0,787.3,795.0,770.8,777.6,777.1,771.6,755.9,747.0,725.5,665.8,681.9,641.7,655.2,641.3,609.1,598.6,575.1,559.5,562.6,549.7,488.3,500.2,505.9